Semester,Course,Grade,Points,Credits,Value per Credit
Fall 2016,CSCI,A-,14.68,4,3.67
Fall 2016,ECON,C,8,4,2
Fall 2016,MATH,B,12,4,3
Fall 2016,PHYS,B+,13.32,4,3.33
Spring 2017,CSCI,F,0,4,0
Spring 2017,MATH,B+,13.32,4,3.33
Spring 2017,PHIL,A,16,4,4
Spring 2017,PSYC,B,12,4,3
Fall 2017,BIOL,B,9,3,3
Fall 2017,BIOL,B+,3.33,1,3.33
Fall 2017,COMM,A,16,4,4
Fall 2017,CSCI,B,12,4,3
Fall 2017,MATH,C,8,4,2
Spring 2018,CSCI,B,12,4,3
Spring 2018,CSCI,A,16,4,4
Spring 2018,ECON,D,4,4,1
Spring 2018,PSYC,A,16,4,4
Fall 2018,CSCI,C-,6.68,4,1.67
Fall 2018,CSCI,B,12,4,3
Fall 2018,ERTH,B,12,4,3
Fall 2018,PSYC,A-,14.68,4,3.67
Spring 2019,CSCI,A-,14.68,4,3.67
Spring 2019,CSCI,C,8,4,2
Spring 2019,CSCI,A-,14.68,4,3.67
Spring 2019,PSYC,B-,10.68,4,2.67
Fall 2019,CSCI,A-,14.68,4,3.67
Fall 2019,CSCI,B,12,4,3
Fall 2019,CSCI,A,16,4,4
Fall 2019,GSAS,A,16,4,4
